Date,SP500,IBEX35
2018-10-31,2711.739990234375,8893.5
2018-11-01,2740.3701171875,8954.7998046875
2018-11-02,2723.06005859375,8993.0
2018-11-05,2738.31005859375,9010.7001953125
2018-11-06,2755.449951171875,8988.900390625
2018-11-07,2813.889892578125,9167.900390625
2018-11-08,2806.830078125,9177.0
2018-11-09,2781.010009765625,9134.7998046875
2018-11-12,2726.219970703125,9076.2998046875
2018-11-13,2722.179931640625,9145.400390625
2018-11-14,2701.580078125,9106.599609375
2018-11-15,2730.199951171875,9073.5
2018-11-16,2736.27001953125,9056.7998046875
2018-11-19,2690.72998046875,9006.2998046875
2018-11-20,2641.889892578125,8866.5
2018-11-21,2649.929931640625,8960.599609375
2018-11-23,2632.56005859375,8916.7001953125
2018-11-26,2673.449951171875,9091.2001953125
2018-11-27,2682.169921875,9085.599609375
2018-11-28,2743.7900390625,9102.7001953125
2018-11-29,2737.800048828125,9098.900390625
2018-11-30,2760.169921875,9077.2001953125
2018-12-03,2790.3701171875,9179.599609375
2018-12-04,2700.06005859375,9061.7001953125
2018-12-06,2695.949951171875,8764.5
2018-12-07,2633.080078125,8815.5
2018-12-10,2637.719970703125,8660.0
2018-12-11,2636.780029296875,8735.5
2018-12-12,2651.070068359375,8853.400390625
2018-12-13,2650.5400390625,8926.2998046875
2018-12-14,2599.949951171875,8886.099609375
2018-12-17,2545.93994140625,8812.5
2018-12-18,2546.159912109375,8700.7998046875
2018-12-19,2506.9599609375,8769.099609375
2018-12-20,2467.419921875,8596.5
2018-12-21,2416.6201171875,8556.7998046875
2018-12-24,2351.10009765625,8480.599609375
2018-12-27,2488.830078125,8363.900390625
2018-12-28,2485.739990234375,8493.7001953125
2018-12-31,2506.85009765625,8539.900390625
2019-01-02,2510.030029296875,8550.0
2019-01-03,2447.889892578125,8523.2998046875
2019-01-04,2531.93994140625,8737.7998046875
2019-01-07,2549.68994140625,8776.2998046875
2019-01-08,2574.409912109375,8847.2998046875
2019-01-09,2584.9599609375,8823.599609375
2019-01-10,2596.639892578125,8856.7998046875
2019-01-11,2596.260009765625,8877.099609375
2019-01-14,2582.610107421875,8818.599609375
2019-01-15,2610.300048828125,8850.099609375
2019-01-16,2616.10009765625,8912.7001953125
2019-01-17,2635.9599609375,8908.599609375
2019-01-18,2670.7099609375,9069.099609375
2019-01-22,2632.89990234375,9037.5
2019-01-23,2638.699951171875,9128.7998046875
2019-01-24,2642.330078125,9150.0
2019-01-25,2664.760009765625,9185.2001953125
2019-01-28,2643.85009765625,9062.400390625
2019-01-29,2640.0,9119.099609375
2019-01-30,2681.050048828125,9071.5
2019-01-31,2704.10009765625,9056.7001953125
2019-02-01,2706.530029296875,9019.400390625
2019-02-04,2724.8701171875,8975.2001953125
2019-02-05,2737.699951171875,9092.0
2019-02-06,2731.610107421875,9100.900390625
2019-02-07,2706.050048828125,8938.2998046875
2019-02-08,2707.8798828125,8856.7998046875
2019-02-11,2709.800048828125,8936.400390625
2019-02-12,2744.72998046875,8983.099609375
2019-02-13,2753.030029296875,8982.400390625
2019-02-14,2745.72998046875,8952.5
2019-02-15,2775.60009765625,9123.2001953125
2019-02-19,2779.760009765625,9136.400390625
2019-02-20,2784.699951171875,9181.099609375
2019-02-21,2774.8798828125,9191.2001953125
2019-02-22,2792.669921875,9204.599609375
2019-02-25,2796.110107421875,9204.2998046875
2019-02-26,2793.89990234375,9227.2001953125
2019-02-27,2792.3798828125,9211.7001953125
2019-02-28,2784.489990234375,9277.7001953125
2019-03-01,2803.68994140625,9267.7001953125
2019-03-04,2792.81005859375,9259.7998046875
2019-03-05,2789.64990234375,9258.2001953125
2019-03-06,2771.449951171875,9296.7001953125
2019-03-07,2748.929931640625,9249.900390625
2019-03-08,2743.070068359375,9129.2998046875
2019-03-11,2783.300048828125,9171.900390625
2019-03-12,2791.52001953125,9161.7001953125
2019-03-13,2810.919921875,9192.7001953125
2019-03-14,2808.47998046875,9209.7998046875
2019-03-15,2822.47998046875,9342.2001953125
2019-03-18,2832.93994140625,9409.099609375
2019-03-19,2832.570068359375,9492.2998046875
2019-03-20,2824.22998046875,9405.599609375
2019-03-21,2854.8798828125,9355.599609375
2019-03-22,2800.7099609375,9199.400390625
